-----------
Timer report 0 (4883 timers)
--------------
[0] root 5781.94140 100.0% 1 232087953126   40.1 MFlops 
   [1] EBINS::run 5763.85316 99.7% 1 232086570726   40.3 MFlops 
                                                      [1919] indexer_i 0.27964  0.0% 86400 0    0.0 MFlops 
                                             [2134] EBStencil::apply 0.18395  0.0% 86400 50803200  276.2 MFlops 
                                                [2183] EBStencil::applyITZ 0.17084  0.0% 86400 50803200  297.4 MFlops 
                                                   [2300] AggSten::apply 0.13976  0.0% 86400 50803200  363.5 MFlops 
                                          [1829] ebforall 0.31508  0.0% 86400 0    0.0 MFlops 
                                             [1908] forallInPlaceBase 0.28412  0.0% 86400 0    0.0 MFlops 
                                                [1948] protoForall 0.26850  0.0% 86400 0    0.0 MFlops 
                                                   [2125] BoxData::makevars 0.18677  0.0% 86400 0    0.0 MFlops 
                                                      [2179] indexer 0.17161  0.0% 86400 0    0.0 MFlops 
                                       [980] BoxData::setVal 1.95014  0.0% 86400 12441600    6.4 MFlops 
                                          [984] BoxData::operator 1.93435  0.0% 86400 12441600    6.4 MFlops 
                                             [2796] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.04275  0.0% 86400 0    0.0 MFlops 
                                       [1465] ebforall_i 0.60307  0.0% 86400 0    0.0 MFlops 
                                          [1521] protoForall_i 0.55552  0.0% 86400 0    0.0 MFlops 
                                             [1711] BoxData::makevars_i 0.40345  0.0% 86400 0    0.0 MFlops 
                                                [1748] indexer_i 0.37390  0.0% 86400 0    0.0 MFlops 
                                    [1402] EBPoissonOp::prolong 0.71356  0.0% 5400 7257600   10.2 MFlops 
                                       [1404] EBPoissonOp::prolong 0.70705  0.0% 5400 7257600   10.3 MFlops 
                                          [1409] EBStencil::apply 0.69497  0.0% 21600 7257600   10.4 MFlops 
                                             [1622] BoxData::setVal 0.48911  0.0% 21600 3110400    6.4 MFlops 
                                                [1627] BoxData::operator 0.48480  0.0% 21600 3110400    6.4 MFlops 
                                                   [3251] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.01067  0.0% 21600 0    0.0 MFlops 
                                             [2688] EBGraph::getIrregVoFs 0.05935  0.0% 21600 0    0.0 MFlops 
                                                [3022] EBGraph::getIrregCells 0.02115  0.0% 21600 0    0.0 MFlops 
                                             [2843] EBStencil::applyITZ 0.03714  0.0% 21600 1036800   27.9 MFlops 
                                                [2936] AggSten::apply 0.02665  0.0% 21600 1036800   38.9 MFlops 
                                             [3226] BoxData::operator+= 0.01138  0.0% 21600 3110400  273.3 MFlops 
                                                [3365] BoxData::operator(BoxData&) 0.00814  0.0% 21600 3110400  382.1 MFlops 
                                    [1990] EBPoissonOp::residual 0.24986  0.0% 5400 3952800   15.8 MFlops 
                                       [2360] BoxData::setVal 0.12199  0.0% 5400 777600    6.4 MFlops 
                                          [2365] BoxData::operator 0.12108  0.0% 5400 777600    6.4 MFlops 
                                             [3700] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00263  0.0% 5400 0    0.0 MFlops 
                                       [2467] EBMultigrid::applyOp 0.09606  0.0% 5400 3175200   33.1 MFlops 
                                          [2811] EBLevelBoxData::exchange 0.04110  0.0% 5400 0    0.0 MFlops 
                                             [2814] EBLevelBoxData::exchangeCPUOnly 0.04029  0.0% 5400 0    0.0 MFlops 
                                                [3082] DistributedData constructor 0.01793  0.0% 5400 0    0.0 MFlops 
                                                [3203] DistributedData::exchange 0.01248  0.0% 5400 0    0.0 MFlops 
                                                   [3459] BoxPattern::exchange constructor 0.00588  0.0% 5400 0    0.0 MFlops 
                                                   [3769] DistributedData::communicate 0.00188  0.0% 5400 0    0.0 MFlops 
                                                      [3937] DistributedData::doLocalCopies 0.00098  0.0% 5400 0    0.0 MFlops 
                                                         [4233] DistributedData::doLocalCopiesWithCopy 0.00022  0.0% 5400 0    0.0 MFlops 
                                                   [4217] CommunicationMetaData constructor 0.00024  0.0% 5400 0    0.0 MFlops 
                                          [2924] ebforall_i 0.02892  0.0% 5400 0    0.0 MFlops 
                                             [2935] protoForall_i 0.02672  0.0% 5400 0    0.0 MFlops 
                                                [3061] BoxData::makevars_i 0.01938  0.0% 5400 0    0.0 MFlops 
                                                   [3090] indexer_i 0.01746  0.0% 5400 0    0.0 MFlops 
                                          [3243] EBStencil::apply 0.01113  0.0% 5400 3175200  285.4 MFlops 
                                             [3264] EBStencil::applyITZ 0.01028  0.0% 5400 3175200  308.8 MFlops 
                                                [3349] AggSten::apply 0.00843  0.0% 5400 3175200  376.7 MFlops 
                                       [3058] ebforall 0.01951  0.0% 5400 0    0.0 MFlops 
                                          [3087] forallInPlaceBase 0.01759  0.0% 5400 0    0.0 MFlops 
                                             [3103] protoForall 0.01661  0.0% 5400 0    0.0 MFlops 
                                                [3222] BoxData::makevars 0.01154  0.0% 5400 0    0.0 MFlops 
                                                   [3254] indexer 0.01059  0.0% 5400 0    0.0 MFlops 
                                    [2162] BoxData::setVal 0.17545  0.0% 10800 1080000    6.2 MFlops 
                                       [2172] BoxData::operator 0.17363  0.0% 10800 1080000    6.2 MFlops 
                                          [3485] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00544  0.0% 10800 0    0.0 MFlops 
                                    [2993] EBPoissonOp::restrict 0.02270  0.0% 5400 259200   11.4 MFlops 
                                       [3093] EBPoissonOp::restrictOnProc 0.01722  0.0% 5400 259200   15.1 MFlops 
                                          [3244] EBStencil::apply 0.01101  0.0% 5400 259200   23.5 MFlops 
                                             [3265] EBStencil::applyITZ 0.01024  0.0% 5400 259200   25.3 MFlops 
                                                [3422] AggSten::apply 0.00670  0.0% 5400 259200   38.7 MFlops 
                                 [741] EBPoissonOp::residual 4.22069  0.1% 5400 27367200    6.5 MFlops 
                                    [886] EBMultigrid::applyOp 2.53368  0.0% 5400 18727200    7.4 MFlops 
                                       [995] EBLevelBoxData::exchange 1.91564  0.0% 5400 0    0.0 MFlops 
                                          [997] EBLevelBoxData::exchangeCPUOnly 1.91463  0.0% 5400 0    0.0 MFlops 
                                             [1022] DistributedData::exchange 1.74463  0.0% 5400 0    0.0 MFlops 
                                                [1172] DistributedData::communicate 1.18749  0.0% 5400 0    0.0 MFlops 
                                                   [1175] DistributedData::doLocalCopies 1.18627  0.0% 5400 0    0.0 MFlops 
                                                      [1176] DistributedData::doLocalCopiesWithCopy 1.18538  0.0% 5400 0    0.0 MFlops 
                                                         [1274] HostBoxData::copy 0.90194  0.0% 453600 0    0.0 MFlops 
                                                         [2400] HostIrregData::copy 0.11074  0.0% 453600 0    0.0 MFlops 
                                                [1543] BoxPattern::exchange constructor 0.54284  0.0% 5400 0    0.0 MFlops 
                                                [4220] CommunicationMetaData constructor 0.00023  0.0% 5400 0    0.0 MFlops 
                                             [2274] DistributedData constructor 0.14342  0.0% 5400 0    0.0 MFlops 
                                       [1815] ebforall_i 0.32337  0.0% 86400 0    0.0 MFlops 
                                          [1890] protoForall_i 0.29204  0.0% 86400 0    0.0 MFlops 
                                             [2156] BoxData::makevars_i 0.17603  0.0% 86400 0    0.0 MFlops 
                                                [2248] indexer_i 0.14719  0.0% 86400 0    0.0 MFlops 
