-----------
Timer report 0 (4410 timers)
--------------
[0] root 4296.69593 100.0% 1 147010383480   34.2 MFlops 
   [1] EBINS::run 4292.78935 99.9% 1 147010037880   34.2 MFlops 
                                       [2636] EBPoissonOp::restrictOnProc 0.01592  0.0% 2700 518400   32.6 MFlops 
                                          [2744] EBStencil::apply 0.01137  0.0% 10800 518400   45.6 MFlops 
                                             [2794] EBStencil::applyITZ 0.00996  0.0% 10800 518400   52.1 MFlops 
                                                [2901] AggSten::apply 0.00686  0.0% 10800 518400   75.6 MFlops 
                                 [45] EBPoissonOp::relax 186.54382  4.3% 5400 2662156800   14.3 MFlops 
                                    [63] EBPoissonOp::residual 122.73784  2.9% 345600 2308262400   18.8 MFlops 
                                       [120] EBMultigrid::applyOp 67.49629  1.6% 345600 1954368000   29.0 MFlops 
                                          [132] EBLevelBoxData::exchange 49.38020  1.1% 345600 0    0.0 MFlops 
                                             [133] EBLevelBoxData::exchangeCPUOnly 49.30739  1.1% 345600 0    0.0 MFlops 
                                                [146] DistributedData::exchange 45.82097  1.1% 345600 0    0.0 MFlops 
                                                   [152] DistributedData::communicate 40.98697  1.0% 345600 0    0.0 MFlops 
                                                      [153] DistributedData::doLocalCopies 40.93911  1.0% 345600 0    0.0 MFlops 
                                                         [154] DistributedData::doLocalCopiesWithCopy 40.89396  1.0% 345600 0    0.0 MFlops 
                                                   [460] BoxPattern::exchange constructor 4.45768  0.1% 345600 0    0.0 MFlops 
                                                   [2674] CommunicationMetaData constructor 0.01387  0.0% 345600 0    0.0 MFlops 
                                                [550] DistributedData constructor 2.66820  0.1% 345600 0    0.0 MFlops 
                                          [320] ebforall_i 11.03886  0.3% 1382400 0    0.0 MFlops 
                                             [323] protoForall_i 10.54561  0.2% 1382400 0    0.0 MFlops 
                                                [350] BoxData::makevars_i 8.94086  0.2% 1382400 0    0.0 MFlops 
                                                   [363] indexer_i 8.53404  0.2% 1382400 0    0.0 MFlops 
                                          [453] EBStencil::apply 4.49929  0.1% 1382400 1954368000  434.4 MFlops 
                                             [472] EBStencil::applyITZ 4.25911  0.1% 1382400 1954368000  458.9 MFlops 
                                                [491] AggSten::apply 3.86980  0.1% 1382400 1954368000  505.0 MFlops 
                                       [137] BoxData::setVal 46.98600  1.1% 1382400 353894400    7.5 MFlops 
                                          [141] BoxData::operator 46.77774  1.1% 1382400 353894400    7.6 MFlops 
                                             [1037] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.55412  0.0% 1382400 0    0.0 MFlops 
                                       [380] ebforall 6.83413  0.2% 1382400 0    0.0 MFlops 
                                          [393] forallInPlaceBase 6.44839  0.2% 1382400 0    0.0 MFlops 
                                             [396] protoForall 6.22714  0.1% 1382400 0    0.0 MFlops 
                                                [417] BoxData::makevars 5.13345  0.1% 1382400 0    0.0 MFlops 
                                                   [423] indexer 4.91634  0.1% 1382400 0    0.0 MFlops 
                                    [136] BoxData::setVal 47.07018  1.1% 1382400 353894400    7.5 MFlops 
                                       [140] BoxData::operator 46.86397  1.1% 1382400 353894400    7.6 MFlops 
                                          [1020] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.56949  0.0% 1382400 0    0.0 MFlops 
                                    [278] ebforall_i 14.96467  0.3% 1382400 0    0.0 MFlops 
                                       [286] protoForall_i 14.40739  0.3% 1382400 0    0.0 MFlops 
                                          [303] BoxData::makevars_i 12.30369  0.3% 1382400 0    0.0 MFlops 
                                             [309] indexer_i 11.88112  0.3% 1382400 0    0.0 MFlops 
                                 [648] EBPoissonOp::prolong 1.81014  0.0% 2700 30380400   16.8 MFlops 
                                    [651] EBPoissonOp::prolong 1.80694  0.0% 2700 30380400   16.8 MFlops 
                                       [653] EBStencil::apply 1.79488  0.0% 43200 30380400   16.9 MFlops 
                                          [682] BoxData::setVal 1.48261  0.0% 43200 11059200    7.5 MFlops 
                                             [686] BoxData::operator 1.47541  0.0% 43200 11059200    7.5 MFlops 
                                                [2585] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.01832  0.0% 43200 0    0.0 MFlops 
